timestamp,gripper_x,gripper_y,gripper_z
1739909691,-0.23922562090062782,-0.0012894504312776151,-0.005713779880844538
1739909691,-0.23922562090062782,-0.0012894504312776151,-0.005713779880844538
1739909691,-0.23922420523692756,-0.0012928833936421283,-0.005712640902703625
1739909691,-0.23922083610391326,-0.0012910963537373565,-0.005719476677523344
1739909691,-0.2392257706253264,-0.0012945986178312062,-0.0057107892323969844
1739909691,-0.2392258249439411,-0.0012908934609379484,-0.005712699106722452
1739909691,-0.23922228258917008,-0.001289108510624672,-0.00572255416967668
1739909691,-0.2392252681730835,-0.0012892618342978089,-0.005720867737069452
1739909691,-0.23922703101604909,-0.0012910536045782368,-0.005715539395476782
1739909691,-0.23922560130838552,-0.001292794647859119,-0.005714302247545433
1739909691,-0.23922441686306717,-0.0012911167697858413,-0.0057100082408871045
1739909691,-0.2392083345250669,-0.0012926306589941283,-0.005731939319311846
1739909692,-0.2388424325526713,-0.0012863819637118573,-0.00616656049762615
1739909692,-0.2382110367228892,-0.0012818306553992755,-0.006666307397806409
1739909692,-0.2375482120010156,-0.0012750626336811885,-0.006924841192467446
1739909692,-0.23668611517352414,-0.0012669850271149836,-0.007516208449125372
1739909692,-0.23668611517352414,-0.0012669850271149836,-0.007516208449125372
1739909692,-0.23581387301977552,-0.0012605902619573358,-0.008113577409127243
1739909692,-0.2347519386611406,-0.0012510670337815377,-0.008774261605304978
1739909692,-0.23348758541316877,-0.001240229755539903,-0.009478168238957946
1739909692,-0.23229497978862898,-0.0012287470143268104,-0.01004789288844618
1739909692,-0.23105066755016185,-0.0012189163561435864,-0.01060111868841454
1739909692,-0.22964253721530875,-0.0012079973549148652,-0.011190680231486227
1739909692,-0.22892932149238385,-0.0012040132577369653,-0.011535897748315066
1739909693,-0.2283973559764266,-0.0011983440034399884,-0.011709270250130854
1739909693,-0.2271242197370988,-0.001190605007503136,-0.012197719563287884
1739909693,-0.22605453007978346,-0.0011826313916069148,-0.012593477962554361
1739909693,-0.22490875349512893,-0.0011716851807825187,-0.013104464213599343
1739909693,-0.2238825656166491,-0.001162975771681752,-0.013659622317017922
1739909693,-0.2238825656166491,-0.001162975771681752,-0.013659622317017922
1739909693,-0.22181045248716671,-0.001147189520513914,-0.014800270641471713
1739909693,-0.22181045248716671,-0.001147189520513914,-0.014800270641471713
1739909693,-0.2207505797642206,-0.0011434571062812482,-0.014817569180509221
1739909693,-0.2197978513236567,-0.001140078036716145,-0.014552404446177308
1739909693,-0.2191674410963275,-0.0011329033674031734,-0.014225785384948592
1739909693,-0.21799694835044314,-0.0011388737576305196,-0.01318960233460656
1739909694,-0.2162989986725695,-0.0011379979973490946,-0.011531187387507275
1739909694,-0.2162989986725695,-0.0011379979973490946,-0.011531187387507275
1739909694,-0.2150486859859745,-0.0011435904415474417,-0.009842444338186346
1739909694,-0.2140006635641737,-0.001148228419238453,-0.008158636549899179
1739909694,-0.21333733642478728,-0.0011466714026534476,-0.007503494468163202
1739909694,-0.21228182192435607,-0.0011478510693081604,-0.006386618823753104
1739909694,-0.21182690475058782,-0.0011480060164349775,-0.005962798735782399
1739909694,-0.21072086489806127,-0.0011435420968428321,-0.005398329120591738
1739909694,-0.20978185415428,-0.0011446121021667932,-0.005087671950128131
1739909694,-0.2087589629826971,-0.0011399382564928173,-0.004974686569461012
1739909694,-0.20827612751255575,-0.00113118231257746,-0.004973080442038008
1739909694,-0.20735563505927734,-0.0011255855423056582,-0.005096969107228844
1739909695,-0.2069004196311784,-0.0011182481240279126,-0.005216790489973949
1739909695,-0.2059865856724696,-0.0008930017818009544,-0.004905446235337896
1739909695,-0.20493701620149446,-0.0008010850911097421,-0.004520769811334535
1739909695,-0.20373188527504507,-0.0007397786312379907,-0.0036638892177860705
1739909695,-0.20261736483845266,-0.0007360954946753878,-0.002897822772743669
1739909695,-0.20261736483845266,-0.0007360954946753878,-0.002897822772743669
1739909695,-0.20141241963279782,-0.0007333548935177989,-0.002225436206858833
1739909695,-0.20039463642426314,-0.0007289390454235919,-0.001705143938166509
1739909695,-0.19927508353645926,-0.0007230457356734187,-0.0013102043733981827
1739909695,-0.1982639532437416,-0.0007186316387890147,-0.0011737427851151172
1739909695,-0.1982639532437416,-0.0007186316387890147,-0.0011737427851151172
1739909695,-0.19620240056483323,-0.0007061545993947356,-0.0007236096226063415
1739909696,-0.19620240056483323,-0.0007061545993947356,-0.0007236096226063415
1739909696,-0.19542623762812766,-0.0007016318886512182,-0.00014200703816966143
1739909696,-0.19452036661695493,-0.0007063964052174697,0.0010299279608693146
1739909696,-0.19377420970587944,-0.0007062808096536797,0.002319045773573253
1739909696,-0.192853762851763,-0.0007964495171544595,0.003300622285403454
1739909696,-0.192853762851763,-0.0007964495171544595,0.003300622285403454
1739909696,-0.19100505199568157,-0.0009379776851294642,0.006409089694107362
1739909696,-0.19100505199568157,-0.0009379776851294642,0.006409089694107362
1739909696,-0.19015187309820358,-0.000995333925383652,0.007989566341241039
1739909696,-0.18913574225703048,-0.0010936368296130224,0.009874883194572304
1739909696,-0.18913574225703048,-0.0010936368296130224,0.009874883194572304
1739909696,-0.18793620691718937,-0.001097051127112042,0.011533591551376038
1739909697,-0.1868532430122636,-0.001093617744744,0.012727733567616445
1739909697,-0.18561875841583933,-0.0010942161571425963,0.01355610793357162
1739909697,-0.18458635333010684,-0.0010899222249841556,0.014171849957634375
1739909697,-0.18345784509227303,-0.0010905294184887213,0.014499494439775412
1739909697,-0.1824906002442021,-0.0010888954055893196,0.014704123435112348
1739909697,-0.1824906002442021,-0.0010888954055893196,0.014704123435112348
1739909697,-0.18138669490326445,-0.0010782685717845152,0.014735423150830207
1739909697,-0.18012707949589984,-0.0010686548427303359,0.014677708714715132
1739909697,-0.17896707618556887,-0.0010642070308979237,0.01458160045848117
1739909697,-0.17766470638333703,-0.0010557580779507517,0.014353541950762244
1739909697,-0.1770334227212692,-0.0010489486176198876,0.014199943480218052
1739909697,-0.17586335671468045,-0.0010410739596444184,0.013946683894428047
1739909698,-0.17536450535834996,-0.0010380373827167868,0.013894066521069393
1739909698,-0.17437936192123374,-0.0010342247308488786,0.01373816840875594
1739909698,-0.17331109959210403,-0.0010297599692964034,0.013540552598050232
1739909698,-0.17240883815026756,-0.001019195901356292,0.013436948755972261
1739909698,-0.17134761755296643,-0.00101457364787468,0.013208372152426373
1739909698,-0.17134761755296643,-0.00101457364787468,0.013208372152426373
1739909698,-0.17042097195841655,-0.0010089895268896526,0.013118329099316844
1739909698,-0.16939012548451673,-0.0010027817929813391,0.013019304739488674
1739909698,-0.16846927087244323,-0.0009921590763443447,0.01294028532255545
1739909698,-0.16778045577485962,-0.0009935440296239106,0.012939290628700556
1739909698,-0.16699510036453608,-0.0009920946455180928,0.012974697521337453
1739909698,-0.16662010841071662,-0.0009902024682106225,0.013000277090273488
1739909699,-0.1663040927650632,-0.0009860831175962331,0.01303407872325324
1739909699,-0.16546953816274235,-0.000981882978057499,0.013090239732545167
1739909699,-0.16467924451439098,-0.000975374796229195,0.013159703710060422
1739909699,-0.1641679942900387,-0.0009717158446199067,0.01345421331093255
1739909699,-0.16368488693777247,-0.0009784662736946662,0.013706473064583086
1739909699,-0.16273086710029727,-0.00098055098926448,0.014484961505949911
1739909699,-0.1616141857862861,-0.0009749906123534895,0.015902029259827172
1739909699,-0.16060022303557167,-0.0009805908061336257,0.01732352519870814
1739909699,-0.15947510882529412,-0.0009851562405879992,0.01911919479410734
1739909699,-0.1589198793042569,-0.0009900069296959906,0.01998560222228049
1739909699,-0.15845435228981822,-0.0009885057208990384,0.020615407351486675
1739909699,-0.1563514200797535,-0.0009942563620620997,0.02396027533278766
1739909700,-0.1563514200797535,-0.0009942563620620997,0.02396027533278766
1739909700,-0.15527276759978118,-0.0009987071396531065,0.025243073742504007
1739909700,-0.1542873199398713,-0.000998751778482032,0.02615418335835537
1739909700,-0.1532440423032487,-0.0009974791143171741,0.026897190895364104
1739909700,-0.15231445140896419,-0.000995181642232874,0.02736414250684313
1739909700,-0.15173868085801503,-0.0009932630258053905,0.02756920016393896
1739909700,-0.1512698323479907,-0.0009943620700207474,0.027714995205215254
1739909700,-0.15036107392392553,-0.0009907507135678904,0.027942920495470036
1739909700,-0.1493319689798296,-0.000986044998892761,0.028093647780976616
1739909700,-0.1484476315051569,-0.000982450030879567,0.028299733000719973
1739909700,-0.1484476315051569,-0.000982450030879567,0.028299733000719973
1739909700,-0.14748130744897384,-0.0009729785962954627,0.02854811272258645
1739909701,-0.1465878644055686,-0.0009744191261351035,0.02865815958387677
1739909701,-0.14560929870210665,-0.0009759137374342874,0.028845742866042107
1739909701,-0.14466660391577332,-0.000959524584630164,0.02888102793377395
1739909701,-0.14361459402842452,-0.0009597728919046606,0.028925344588282775
1739909701,-0.14262381197472487,-0.0009509902721422285,0.028847573072761534
1739909701,-0.14146939261408184,-0.0009411552090759889,0.028742651544795245
1739909701,-0.1404105239059944,-0.0009373829766734043,0.02859784039762811
1739909701,-0.13978741322125657,-0.000933860155909371,0.02857924678094384
1739909701,-0.13926211698174135,-0.0009336793394567131,0.028536850277382064
1739909701,-0.13827845132287014,-0.0009284305144198976,0.02856110440751533
1739909701,-0.13763349379547146,-0.000924520715280451,0.028496468884311593
1739909701,-0.13716931409567013,-0.0009224898677784481,0.02858245751534194
1739909702,-0.13628581137408208,-0.0009128405657103779,0.028770528135967505
1739909702,-0.1352699216350161,-0.0009083485465457551,0.028954655968879556
1739909702,-0.13436828924073177,-0.0009107762439370937,0.029193410829331717
1739909702,-0.1333223362891555,-0.0009132815078547176,0.03007444191662073
1739909702,-0.13243926557697605,-0.0009089719889319881,0.03117648693481792
1739909702,-0.13243926557697605,-0.0009089719889319881,0.03117648693481792
1739909702,-0.13143933675579741,-0.0009165757416103241,0.0333841571921068
1739909702,-0.13119811260094483,-0.0009064584566176204,0.03394394876029444
1739909702,-0.13058572275538338,-0.0006125383414519866,0.03519467269027085
1739909702,-0.13027420156810277,-0.0005253088034791224,0.03572737778167581
1739909702,-0.12976341519190956,-0.0004045094178304566,0.03655441238720328
1739909702,-0.12923599649411716,-0.0003861824051430803,0.03724144318184747
1739909703,-0.12895858638237462,-0.000404079438670057,0.03752096905717217
1739909703,-0.1283145825488815,-0.0003982927229656667,0.03788880468453881
1739909703,-0.12747056949724603,-0.00039349910466967295,0.0381615647657062
1739909703,-0.12662274994957196,-0.0003880984861560921,0.0383329558833522
1739909703,-0.12557757023045357,-0.0003749339549980723,0.0384947460587822
1739909703,-0.12557757023045357,-0.0003749339549980723,0.0384947460587822
1739909703,-0.12463344993577256,-0.0003716378768274127,0.038626377998760314
1739909703,-0.1235399556754344,-0.00036421474100602723,0.0387749445142562
1739909703,-0.12260122053678349,-0.0003615500677989795,0.03899741323125558
1739909703,-0.1214871173530777,-0.00035717954823472065,0.0391528968746889
1739909703,-0.1209442535962062,-0.00036118284630039135,0.03892087766478858
1739909703,-0.12011343584454458,-0.0004755138014206242,0.03841321718674484
1739909704,-0.11927309590410895,-0.00047338669405957426,0.03743991374426145
1739909704,-0.11890432167379472,-0.0006015783303045111,0.03695399769180199
1739909704,-0.1181270714324083,-0.0006562447477371496,0.035723586271444896
1739909704,-0.11716201386283709,-0.0006410125357089304,0.03416314810224702
1739909704,-0.1166802520555893,-0.0006399185898847215,0.0334012143792817
1739909704,-0.11574936756221238,-0.000615802364852133,0.0319350976233268
1739909704,-0.11531804527327352,-0.0006121072221080218,0.031219659438991382
1739909704,-0.11484346973211064,-0.000614350826633137,0.030464335386390318
1739909704,-0.1134261627080247,-0.0005991067272938051,0.02882511715498992
1739909704,-0.11251246467612253,-0.0006282117187679497,0.02810699969394906
1739909704,-0.11251246467612253,-0.0006282117187679497,0.02810699969394906
1739909704,-0.11144749566531595,-0.0006256034217986546,0.02765424848632317
1739909705,-0.10987569463224135,-0.0006025399559272202,0.027025962324953745
1739909705,-0.10887325388009494,-0.0005994497772384383,0.0264225484818571
1739909705,-0.10843808203521126,-0.0005950690505822126,0.026126743602831876
1739909705,-0.10763827433024992,-0.000579367464364027,0.02540860880397744
1739909705,-0.10671892552208696,-0.0005705334384605379,0.02430325759352156
1739909705,-0.10626755686671883,-0.000567608412747082,0.023704136928068886
1739909705,-0.10529864686502151,-0.0006335939966245832,0.022312692881730017
1739909705,-0.10486772777920401,-0.000627614935474033,0.02172282446143048
1739909705,-0.10395886718391611,-0.0006178319656350946,0.02039403267413395
1739909705,-0.10334862588305638,-0.0006102335552654176,0.0197048685236082
1739909705,-0.10287138531616512,-0.0005982474878313568,0.019281000826930766
1739909705,-0.10157331969954334,-0.0005926409720117163,0.018463499085367874
1739909706,-0.10128670026160111,-0.0005838584969471378,0.01840394619508917
1739909706,-0.09975813073675895,-0.000582584969382248,0.018537237072643403
1739909706,-0.09975813073675895,-0.000582584969382248,0.018537237072643403
1739909706,-0.09920047045942344,-0.0005707230873676231,0.01822862297097777
1739909706,-0.09843640810987764,-0.0005666345176927137,0.01770640177933977
1739909706,-0.09843640810987764,-0.0005666345176927137,0.01770640177933977
1739909706,-0.0977414556047065,-0.0005530520090447938,0.017246677365103213
