timestamp,x,y,z
0,-0.15289134,0.079496406,-0.16724457
0,-0.15253314,0.078915596,-0.16594906
0,-0.14811273,0.07618798,-0.15843405
0,-0.13983417,0.071617365,-0.14647241
0,-0.12852117,0.065401405,-0.12727928
0,-0.11582187,0.057725467,-0.11255264
0,-0.10128782,0.048794463,-0.095310755
0,-0.08651144,0.038326886,-0.07530175
0,-0.07303153,0.028904293,-0.051957376
0,-0.062480263,0.02083624,-0.025660066
0,-0.04943168,0.01315635,-0.00864499
0,-0.03443859,0.0076634204,0.00072002306
0,-0.022454135,0.00278332,0.012473388
0,-0.013423671,0.00034728702,0.012576776
0,-0.008154635,0.0016342353,0.005475529
0,-0.003788519,0.0026632778,-0.005612095
0,-0.002545398,0.0029697919,-0.016339507
0,-0.0032345972,0.00370651,-0.025095707
0,-0.004180972,0.004434821,-0.032099683
0,-0.0049833097,0.0045889746,-0.03506112
