timestamp,tool_x,tool_y,tool_z,target_x,target_y,target_z
1744938874,-3.64204811107905e-05,0.17378944190874746,0.17007452058851716,-0.0008546029852233995,0.35560659902370784,0.15125058738921573
1744938874,-3.4327093759787544e-05,0.17379238469053077,0.17007325209908986,-0.0008546029852233995,0.35560659902370784,0.15125058738921573
1744938874,-3.8491988995063736e-05,0.17379238338445263,0.17007325209908986,-0.0008546029852233995,0.35560659902370784,0.15125058738921573
1744938874,-3.8489999976824405e-05,0.17379682775532598,0.1700696668902968,-0.0008546029852233995,0.35560659902370784,0.15125058738921573
1744938874,-3.431225459762336e-05,0.17383099727718537,0.17000945903382603,-0.0008546029852233995,0.35560659902370784,0.15125058738921573
1744938874,-3.8427347491996505e-05,0.17400288512324114,0.16974665569317915,-0.0008546029852233995,0.35560659902370784,0.15125058738921573
1744938874,-3.6192892896082994e-05,0.17443257659101866,0.16906935825208902,-0.0008546029852233995,0.35560659902370784,0.15125058738921573
1744938874,-3.17493831210998e-05,0.1749713597608712,0.16925553103143404,-0.0008546029852233995,0.35560659902370784,0.15125058738921573
1744938874,-3.3541961196398824e-05,0.1756220731281808,0.16938934765428973,-0.0008467150404047748,0.35730180469704403,0.14926213370459576
1744938875,-3.9533103880553115e-05,0.1763364597687976,0.16966565358433014,-0.0008591772668043599,0.3579994550785252,0.14938819878073678
1744938875,-3.70926907148366e-05,0.17704174346659213,0.16994309525465948,-0.0008543145911114407,0.3586888949930861,0.1495241005329749
1744938875,-3.464995520088727e-05,0.1777777935306196,0.170361893137092,-0.0008498466256785341,0.35941809443672706,0.14988196647963245
1744938875,-3.4238334517317336e-05,0.17857844164804632,0.17135294459258335,-0.0008493242936391519,0.3602501886481796,0.1511538646242647
1744938875,-2.947603133539262e-05,0.17951034832774704,0.1725140381820432,-0.000839909666364159,0.36121932081639185,0.15265243277835375
1744938875,-3.323354757958455e-05,0.1807062223646414,0.17337945880909805,-0.0008479288206107016,0.3624199332547202,0.1535614265925369
1744938875,-3.2521965585371916e-05,0.18224216784534647,0.17409993272114832,-0.0008471007272293906,0.3639363167091732,0.15410334339050646
1744938875,-3.1755327517369253e-05,0.1839311215686591,0.1747740445113664,-0.0008462163842843996,0.36559729375734185,0.15452486205215116
1744938875,2.001422215005996e-07,0.1856472993071863,0.1755395588596748,-0.0007836325428624294,0.3672928850913102,0.15510533202742155
1744938875,0.00013849562891521242,0.18759045529597376,0.1760161881341952,-0.0005123127344309644,0.36918706776412813,0.1551466494873322
1744938876,0.0004230626126199701,0.18963803439657095,0.17641555024502129,4.19136248928356e-05,0.3711774546157957,0.15504771257518188
1744938876,0.0006403091243450351,0.19171579307520964,0.1770615400268613,0.0004593065002804711,0.37321708264052994,0.15536960652743517
1744938876,0.0006867976873316563,0.19408246589223058,0.177508086233106,0.0005406674676178703,0.37552064297847976,0.15529418526219396
1744938876,0.0007347718421109044,0.19658439710131498,0.17775327966346904,0.0006234192684463889,0.37794046074757887,0.15487847618662326
1744938876,0.0007912829631592166,0.1991817665403713,0.17772748686278927,0.0007208959002137808,0.3804315180254514,0.1540248817944469
1744938876,0.0008571716186044163,0.20197742230984805,0.17738524990842322,0.0008340574859328194,0.3830866543810302,0.15263173744874847
1744938876,0.0008482755559454183,0.2047335573759751,0.17731664615652643,0.0008052493967530474,0.38572879424794104,0.15174296372363688
1744938876,0.0005079652539559555,0.20746633974809248,0.17753038656635517,0.00015681005196707326,0.38837691495322113,0.1513668370414664
1744938876,0.00023419813071235215,0.21033439366168888,0.178206861284481,-0.0003594855102476469,0.3912030383952327,0.1517593331059673
1744938876,-8.04936411181437e-05,0.21324845913237628,0.17901071973908375,-0.0009447718537985468,0.3940912048227834,0.15239408567139
1744938877,-0.000598211539721388,0.21614757934846845,0.17997092462438097,-0.001895804052582487,0.3969845486268802,0.1533326504566154
1744938877,-0.0010722236061860078,0.2190885767189884,0.18106069115732407,-0.002755465609044668,0.39993638582857854,0.15451775440592458
1744938877,-0.0013456623726042307,0.22197929214888018,0.18218819033926992,-0.0032412880436332565,0.40285005038216865,0.15581649577486256
1744938877,-0.0014770170462018073,0.22476459633523133,0.1839942790983539,-0.003466091536076251,0.40573015606086166,0.1582882364112588
1744938877,-0.001488836654720438,0.22759713792385633,0.18595979099534318,-0.003474309463673669,0.4086740554442896,0.16104997979993615
1744938877,-0.0014704246702254703,0.2304812242763704,0.18834177984456374,-0.0034280203702570086,0.41170531012794426,0.16452394238806217
1744938877,-0.001370798553341635,0.23350084949344463,0.19055668250003815,-0.0032379474469781968,0.4148549932321044,0.16774267017002029
1744938877,-0.00037828588738768917,0.23668849851939258,0.19239710427511678,-0.001471685506419637,0.4181459621828644,0.1703679369540257
1744938877,0.0009169777266325792,0.23978017627630932,0.1942046210970429,0.000806494049501496,0.4213383243142832,0.17299336160718765
1744938877,0.0024370680347580048,0.24279358158614386,0.19614852488579948,0.0034547065022279963,0.4244577555880426,0.17589060912614857
1744938878,0.003921125367371335,0.24598681271753847,0.19814509333124905,0.006010494307194095,0.4277519124385743,0.17889999225063838
1744938878,0.005189603220994632,0.24920339907361272,0.20002026870473186,0.00816774076228452,0.43105704283472057,0.18175352837261627
1744938878,0.006179432364102611,0.25260180213842165,0.2014362719091911,0.009819556867100634,0.43451444420122354,0.18389115845554532
1744938878,0.006873474730524869,0.2561790485486239,0.20280591072275178,0.010944813467681287,0.43815214862780355,0.18599799879925819
1744938878,0.007258992819750705,0.2595931886384196,0.20502949225836758,0.011538578239656275,0.4416806595682162,0.189565697970033
1744938878,0.007254160385042609,0.2628736751126222,0.20763421149932992,0.011470217007994728,0.4450946247696432,0.19381244506326342
1744938878,0.006490450398069599,0.2662853095631079,0.20971575578372703,0.010121313427580806,0.4486166916584212,0.19725081327918684
1744938878,0.005488025450369185,0.2696905104367463,0.2119937864281462,0.008386317470335433,0.45213356717461806,0.20106575795653023
1744938878,0.0041125223086083155,0.27317140541322266,0.2138280768546266,0.006045885780309138,0.4557008704462027,0.20420792325771844
1744938878,0.0020734699475594546,0.2766269292150566,0.2155230309745044,0.002626981630125917,0.45922845053531447,0.2071762417048275
