timestamp,x,y,z
1757552868,-0.18998419,0.25186926,-0.13962708
1757552868,-0.18998419,0.25186926,-0.13962708
1757552868,-0.18998419,0.25186926,-0.13962708
1757552868,-0.18449283,0.24867772,-0.13518389
1757552869,-0.18449283,0.24867772,-0.13518389
1757552869,-0.18449283,0.24867772,-0.13518389
1757552869,-0.18449283,0.24867772,-0.13518389
1757552869,-0.1740498,0.23991264,-0.12785773
1757552869,-0.1740498,0.23991264,-0.12785773
1757552869,-0.1740498,0.23991264,-0.12785773
1757552869,-0.1740498,0.23991264,-0.12785773
1757552869,-0.16292906,0.22185598,-0.12278144
1757552869,-0.16292906,0.22185598,-0.12278144
1757552869,-0.16292906,0.22185598,-0.12278144
1757552870,-0.16292906,0.22185598,-0.12278144
1757552870,-0.13671897,0.19393864,-0.105082065
1757552870,-0.13671897,0.19393864,-0.105082065
1757552870,-0.13671897,0.19393864,-0.105082065
1757552870,-0.13671897,0.19393864,-0.105082065
1757552870,-0.11239208,0.17204967,-0.0838376
1757552870,-0.11239208,0.17204967,-0.0838376
1757552870,-0.11239208,0.17204967,-0.0838376
1757552870,-0.11239208,0.17204967,-0.0838376
1757552870,-0.0872743,0.15695727,-0.0556381
1757552871,-0.0872743,0.15695727,-0.0556381
1757552871,-0.0872743,0.15695727,-0.0556381
1757552871,-0.0872743,0.15695727,-0.0556381
1757552871,-0.073824465,0.14292523,-0.043172017
1757552871,-0.073824465,0.14292523,-0.043172017
1757552871,-0.073824465,0.14292523,-0.043172017
1757552871,-0.073824465,0.14292523,-0.043172017
1757552871,-0.056421865,0.11540164,-0.028337223
1757552871,-0.056421865,0.11540164,-0.028337223
1757552871,-0.056421865,0.11540164,-0.028337223
1757552872,-0.056421865,0.11540164,-0.028337223
1757552872,-0.03287492,0.0844201,0.00597872
1757552872,-0.03287492,0.0844201,0.00597872
1757552872,-0.03287492,0.0844201,0.00597872
1757552872,-0.03287492,0.0844201,0.00597872
1757552872,-0.023446523,0.07343432,0.01973221
1757552872,-0.023446523,0.07343432,0.01973221
1757552872,-0.023446523,0.07343432,0.01973221
1757552872,-0.023446523,0.07343432,0.01973221
1757552872,-0.018080464,0.06828554,0.025336135
1757552873,-0.018080464,0.06828554,0.025336135
1757552873,-0.018080464,0.06828554,0.025336135
1757552873,-0.018080464,0.06828554,0.025336135
1757552873,-0.0071482346,0.04648661,0.039857365
1757552873,-0.0071482346,0.04648661,0.039857365
1757552873,-0.0071482346,0.04648661,0.039857365
1757552873,-0.0071482346,0.04648661,0.039857365
1757552873,-0.0026099624,0.040864684,0.053579845
1757552873,-0.0026099624,0.040864684,0.053579845
1757552873,-0.0026099624,0.040864684,0.053579845
1757552874,-0.0026099624,0.040864684,0.053579845
1757552874,0.0035260308,0.03933503,0.00070050365
1757552874,0.0035260308,0.03933503,0.00070050365
1757552874,0.0035260308,0.03933503,0.00070050365
1757552874,0.0035260308,0.03933503,0.00070050365
1757552874,0.0021762627,0.039495476,-0.04251315
1757552874,0.0021762627,0.039495476,-0.04251315
1757552874,0.0021762627,0.039495476,-0.04251315
1757552874,0.0021762627,0.039495476,-0.04251315
1757552874,0.0006573879,0.04093375,-0.049284123
1757552875,0.0006573879,0.04093375,-0.049284123
1757552875,0.0006573879,0.04093375,-0.049284123
1757552875,0.0006573879,0.04093375,-0.049284123
1757552875,-0.0032676281,0.042330217,-0.064142644
1757552875,-0.0032676281,0.042330217,-0.064142644
1757552875,-0.0032676281,0.042330217,-0.064142644
1757552875,-0.0032676281,0.042330217,-0.064142644
1757552875,-0.0077554103918373585,0.054907478392124176,-0.06857626140117645
1757552875,-0.0077554103918373585,0.054907478392124176,-0.06857626140117645
1757552875,-0.0077554103918373585,0.054907478392124176,-0.06857626140117645
1757552876,-0.0077554103918373585,0.054907478392124176,-0.06857626140117645
