x,y,z
-0.1672627180814743,0.002905777655541897,0.003570065600797534
-0.1672743558883667,0.0029092237818986177,0.0035760642495006323
-0.1672293096780777,0.00290720839984715,0.0034666843712329865
-0.16656656563282013,0.002869588788598776,0.002525955205783248
-0.16606204211711884,0.0028623868711292744,0.0025675520300865173
-0.16534839570522308,0.0028508584946393967,0.00226266379468143
-0.16444723308086395,0.0028107501566410065,0.001330185099504888
-0.16346561908721924,0.0027705554384738207,0.0002568979107309133
-0.16238942742347717,0.002730288775637746,-0.0007436045561917126
-0.16119930148124695,0.00267933146096766,-0.0015389526961371303
-0.15976721048355103,0.002593708224594593,-0.002458366798236966
-0.15826067328453064,0.00256612547673285,-0.002943759085610509
-0.15677064657211304,0.0025689436588436365,-0.002510894788429141
-0.15523871779441833,0.00259357294999063,-0.001298337010666728
-0.15363150835037231,0.0026333360001444817,0.0007037586183287203
-0.1520007997751236,0.0027251490391790867,0.0035290152300149202
-0.15031611919403076,0.002835494000464678,0.007076194044202566
-0.14857777953147888,0.0029832806903868914,0.011575449258089066
-0.1467934250831604,0.0031258887611329556,0.016015762463212013
-0.14467698335647583,0.003241873811930418,0.020128726959228516
-0.14259488880634308,0.003386478638276458,0.024859732016921043
-0.14022260904312134,0.003514474257826805,0.029181858524680138
-0.13739736378192902,0.0035604997538030148,0.03168420493602753
-0.13400696218013763,0.003532910021021962,0.03259192034602165
-0.13019616901874542,0.0034543017391115427,0.03236901015043259
-0.1260513961315155,0.003353087930008769,0.031783703714609146
-0.121815025806427,0.0032686651684343815,0.031618744134902954
-0.11741717904806137,0.0031901621259748936,0.032150037586688995
-0.11289495974779129,0.0031150931026786566,0.03268294036388397
-0.10873714834451675,0.003073351224884391,0.034157171845436096
-0.10448026657104492,0.0030424657743424177,0.03568194806575775
-0.09971863031387329,0.0029587235767394304,0.036173898726701736
-0.09503177553415298,0.002858242020010948,0.03628910705447197
-0.09046389907598495,0.0027921840082854033,0.03717922419309616
-0.08603187650442123,0.002738810842856765,0.03850272297859192
-0.08143696933984756,0.0026780676562339067,0.039396755397319794
-0.07684724777936935,0.0025973375886678696,0.040279943495988846
-0.07225695252418518,0.002543793059885502,0.04150540381669998
-0.06768257915973663,0.0024623966310173273,0.042435240000486374
-0.06296712160110474,0.0023985488805919886,0.04362054541707039
-0.058709777891635895,0.002374108415096998,0.04583021253347397
-0.054259512573480606,0.0023267001379281282,0.04762694239616394
-0.049634870141744614,0.0022384487092494965,0.0484016090631485
-0.04487888514995575,0.0021075154654681683,0.04807150736451149
-0.040128786116838455,0.0019190884195268154,0.04623251408338547
-0.03523937612771988,0.0017089962493628263,0.043510571122169495
-0.030184855684638023,0.0014566781464964151,0.04014120250940323
-0.026312222704291344,0.0012343914713710546,0.036175791174173355
-0.024407751858234406,0.0010454459115862846,0.031083110719919205
-0.023270346224308014,0.0008135552052408457,0.024174394086003304
-0.02260817587375641,0.0005915777292102575,0.01651849038898945
-0.02220420353114605,0.00032920780358836055,0.008001492358744144
-0.02210649475455284,0.00013484507508110255,0.0011213399702683091
-0.022173423320055008,3.560268669389188e-05,-0.00321279582567513
-0.02227465808391571,-6.2980848269944545e-06,-0.005371685139834881
-0.022376883774995804,1.089689618538614e-07,-0.00624566525220871
-0.022441530600190163,-6.613705863856012e-06,-0.006645350717008114
-0.022473355755209923,3.3088093687183573e-07,-0.006876256316900253
-0.022502794861793518,1.065626202034764e-05,-0.006935205310583115
-0.02247949130833149,4.873945272265701e-06,-0.00723790330812335
