x,y,z
-0.1856839507818222,0.0066894725896418095,0.007254669908434153
-0.18548555672168732,0.0066924188286066055,0.006892194505780935
-0.18523968756198883,0.0066961427219212055,0.006442324258387089
-0.1849432736635208,0.006700755562633276,0.005898974370211363
-0.18459677696228027,0.006706352345645428,0.005262093152850866
-0.18420425057411194,0.006713015493005514,0.004537944681942463
-0.18377208709716797,0.006720842327922583,0.0037367793265730143
-0.18330636620521545,0.006729982793331146,0.0028679294046014547
-0.18280941247940063,0.006740688346326351,0.0019338919082656503
-0.18227727711200714,0.006753342691808939,0.0009259156649932265
-0.1816989928483963,0.00676845945417881,-0.000176715970155783
-0.18105828762054443,0.006786631420254707,-0.0014026948483660817
-0.18033741414546967,0.006808422040194273,-0.0027801329270005226
-0.17952261865139008,0.006834212690591812,-0.004324432462453842
-0.1786102056503296,0.00686402153223753,-0.006024583708494902
-0.17761144042015076,0.006897352170199156,-0.007831391878426075
-0.17655429244041443,0.006933148019015789,-0.009652329608798027
-0.17548002302646637,0.006969911977648735,-0.011356772854924202
-0.17443527281284332,0.007005987223237753,-0.012791342101991177
-0.1734619438648224,0.007039904128760099,-0.013799996115267277
-0.1725890189409256,0.007070664316415787,-0.014241361990571022
-0.1718289703130722,0.007097864523530006,-0.013998948037624359
-0.17117872834205627,0.007121658883988857,-0.012985710985958576
-0.17062367498874664,0.007142617367208004,-0.011148623190820217
-0.17014221847057343,0.007161563262343407,-0.00847842451184988
-0.16970965266227722,0.0071794334799051285,-0.005025100894272327
-0.1693003624677658,0.007197199389338493,-0.0009128828532993793
-0.1688886433839798,0.007215848658233881,0.0036563207395374775
-0.1684480458498001,0.0072364178486168385,0.008420756086707115
-0.16794997453689575,0.0072600701823830605,0.013098103925585747
-0.16736209392547607,0.007288177032023668,0.017433738335967064
-0.16664713621139526,0.007322367746382952,0.021239446476101875
-0.16576328873634338,0.007364506367594004,0.024409884586930275
-0.16466665267944336,0.007416551001369953,0.026916421949863434
-0.16331663727760315,0.0074802725575864315,0.028787577524781227
-0.1616840660572052,0.007556827273219824,0.030086971819400787
-0.159760981798172,0.007646247278898954,0.03089582361280918
-0.15756870806217194,0.007747008930891752,0.03130173683166504
-0.15515954792499542,0.007855907082557678,0.03139197826385498
-0.15260832011699677,0.007968418300151825,0.031248411163687706
-0.14999404549598694,0.008079536259174347,0.030942372977733612
-0.1473778486251831,0.008184787817299366,0.03052983619272709
-0.14478573203086853,0.008281013928353786,0.03004840388894081
-0.14220252633094788,0.008366622030735016,0.029517538845539093
-0.13957856595516205,0.008441238664090633,0.028942128643393517
-0.13684603571891785,0.008504950441420078,0.028318578377366066
-0.13394072651863098,0.008557320572435856,0.02764214761555195
-0.13082429766654968,0.00859637651592493,0.026914292946457863
-0.12750153243541718,0.008617728017270565,0.02614850550889969
-0.12402632087469101,0.008613972924649715,0.025373026728630066
-0.12049179524183273,0.008574488572776318,0.02462916634976864
-0.1170058399438858,0.008485621772706509,0.023965589702129364
-0.11366056650876999,0.008331160061061382,0.02343073859810829
-0.1105077788233757,0.008092962205410004,0.023066440597176552
-0.10754894465208054,0.0077518620528280735,0.02290457673370838
-0.10474096238613129,0.007289237342774868,0.02296658419072628
-0.10201310366392136,0.006689763627946377,0.023263975977897644
-0.09928889572620392,0.005945640616118908,0.02379801869392395
-0.09650727361440659,0.00506178941577673,0.024557994678616524
-0.09363818168640137,0.004060400649905205,0.025519225746393204
-0.09068810939788818,0.0029823691584169865,0.026643376797437668
-0.08769269287586212,0.0018835525261238217,0.027883198112249374
-0.08469784259796143,0.0008259646710939705,0.02919183112680912
-0.08173634856939316,-0.00013319677964318544,0.03053373098373413
-0.07880930602550507,-0.0009504674817435443,0.03189282864332199
-0.07587938010692596,-0.0016001238254830241,0.03327450156211853
-0.0728776603937149,-0.0020732765551656485,0.03470049425959587
-0.06972143054008484,-0.0023742043413221836,0.03619803488254547
-0.0663384422659874,-0.002516426844522357,0.037785276770591736
-0.06269250065088272,-0.0025199793744832277,0.03945576772093773
-0.0588037446141243,-0.002409950830042362,0.041165415197610855
