x,y,z
-0.17654529213905334,-0.07871423661708832,0.008137267082929611
-0.17627227306365967,-0.07840710878372192,0.007676871493458748
-0.17593568563461304,-0.07802936434745789,0.007105052005499601
-0.1755330115556717,-0.07757892459630966,0.006413700059056282
-0.17506730556488037,-0.07706049084663391,0.005602164659649134
-0.17454774677753448,-0.07648604363203049,0.004677562974393368
-0.17398789525032043,-0.07587312906980515,0.003651789389550686
-0.17340205609798431,-0.07524055987596512,0.002535266103222966
-0.17280055582523346,-0.0746031403541565,0.0013294252566993237
-0.17218606173992157,-0.07396724075078964,2.1103427570778877e-05
-0.1715523600578308,-0.07332904636859894,-0.0014183558523654938
-0.17088593542575836,-0.07267577201128006,-0.003027979051694274
-0.17017026245594025,-0.07198929786682129,-0.004846168681979179
-0.16939151287078857,-0.07125108689069748,-0.006895078346133232
-0.16854481399059296,-0.07044721394777298,-0.009162954054772854
-0.16763924062252045,-0.0695720911026001,-0.011589021421968937
-0.16669966280460358,-0.06862949579954147,-0.014057086780667305
-0.16576413810253143,-0.06762974709272385,-0.016402777284383774
-0.1648767739534378,-0.06658342480659485,-0.018434038385748863
-0.16407883167266846,-0.0654938742518425,-0.01995774172246456
-0.16340138018131256,-0.06435134261846542,-0.02080243080854416
-0.1628616899251938,-0.0631314218044281,-0.020831158384680748
-0.16246359050273895,-0.061798419803380966,-0.019946038722991943
-0.16219981014728546,-0.0603131540119648,-0.018091551959514618
-0.16205453872680664,-0.058643899857997894,-0.015263318084180355
-0.1620047241449356,-0.05677827447652817,-0.011523566208779812
-0.16202053427696228,-0.054732855409383774,-0.007016627583652735
-0.16206544637680054,-0.052556172013282776,-0.001972072757780552
-0.16209714114665985,-0.05032186582684517,0.0033154620323330164
-0.16206957399845123,-0.048112500458955765,0.008530107326805592
-0.1619354635477066,-0.04599951580166817,0.013388440944254398
-0.1616487056016922,-0.04402719438076019,0.017682451754808426
-0.1611659675836563,-0.04220617190003395,0.02129753865301609
-0.16044840216636658,-0.040517207235097885,0.02420511282980442
-0.15946465730667114,-0.0389220304787159,0.026439940556883812
-0.15819600224494934,-0.03737707436084747,0.0280743557959795
-0.156643345952034,-0.0358465276658535,0.029197316616773605
-0.15483318269252777,-0.034311939030885696,0.029900692403316498
