timestamp,x,y,z
1757543034,-0.14144178,0.24653576,-0.08851061
1757543034,-0.14144178,0.24653576,-0.08851061
1757543034,-0.14144178,0.24653576,-0.08851061
1757543034,-0.13768682,0.243535,-0.08589589
1757543034,-0.13768682,0.243535,-0.08589589
1757543034,-0.13768682,0.243535,-0.08589589
1757543034,-0.13768682,0.243535,-0.08589589
1757543034,-0.13011266,0.23508516,-0.081590734
1757543034,-0.13011266,0.23508516,-0.081590734
1757543034,-0.13011266,0.23508516,-0.081590734
1757543035,-0.13011266,0.23508516,-0.081590734
1757543035,-0.12277949,0.21744464,-0.08050284
1757543035,-0.12277949,0.21744464,-0.08050284
1757543035,-0.12277949,0.21744464,-0.08050284
1757543035,-0.12277949,0.21744464,-0.08050284
1757543035,-0.10106181,0.1900209,-0.0675341
1757543035,-0.10106181,0.1900209,-0.0675341
1757543035,-0.10106181,0.1900209,-0.0675341
1757543035,-0.10106181,0.1900209,-0.0675341
1757543035,-0.081718415,0.16867948,-0.05153736
1757543036,-0.081718415,0.16867948,-0.05153736
1757543036,-0.081718415,0.16867948,-0.05153736
1757543036,-0.081718415,0.16867948,-0.05153736
1757543036,-0.06186135,0.15416507,-0.028877553
1757543036,-0.06186135,0.15416507,-0.028877553
1757543036,-0.06186135,0.15416507,-0.028877553
1757543036,-0.06186135,0.15416507,-0.028877553
1757543036,-0.053735666,0.14071803,-0.022017945
1757543036,-0.053735666,0.14071803,-0.022017945
1757543036,-0.053735666,0.14071803,-0.022017945
1757543037,-0.053735666,0.14071803,-0.022017945
1757543037,-0.04150684,0.11376289,-0.012631278
1757543037,-0.04150684,0.11376289,-0.012631278
1757543037,-0.04150684,0.11376289,-0.012631278
1757543037,-0.04150684,0.11376289,-0.012631278
1757543037,-0.022769472,0.08330979,0.016620044
1757543037,-0.022769472,0.08330979,0.016620044
1757543037,-0.022769472,0.08330979,0.016620044
1757543037,-0.022769472,0.08330979,0.016620044
1757543037,-0.017572647,0.072788954,0.02591757
1757543038,-0.017572647,0.072788954,0.02591757
1757543038,-0.017572647,0.072788954,0.02591757
1757543038,-0.017572647,0.072788954,0.02591757
1757543038,-0.015646342,0.06801809,0.027899336
1757543038,-0.015646342,0.06801809,0.027899336
1757543038,-0.015646342,0.06801809,0.027899336
1757543038,-0.015646342,0.06801809,0.027899336
1757543038,-0.007148235,0.04648661,0.03985736
1757543038,-0.007148235,0.04648661,0.03985736
1757543038,-0.007148235,0.04648661,0.03985736
1757543039,-0.007148235,0.04648661,0.03985736
1757543039,-0.0038246433,0.040998146,0.05230075
1757543039,-0.0038246433,0.040998146,0.05230075
1757543039,-0.0038246433,0.040998146,0.05230075
1757543039,-0.0038246433,0.040998146,0.05230075
1757543039,0.0020017256,0.03950251,-0.0009046317
1757543039,0.0020017256,0.03950251,-0.0009046317
1757543039,0.0020017256,0.03950251,-0.0009046317
1757543039,0.0020017256,0.03950251,-0.0009046317
1757543039,0.0009330013,0.039632075,-0.043822337
1757543040,0.0009330013,0.039632075,-0.043822337
1757543040,0.0009330013,0.039632075,-0.043822337
1757543040,0.0009330013,0.039632075,-0.043822337
1757543040,-2.8550086e-05,0.041009117,-0.05000643
1757543040,-2.8550086e-05,0.041009117,-0.05000643
1757543040,-2.8550086e-05,0.041009117,-0.05000643
1757543040,-2.8550086e-05,0.041009117,-0.05000643
1757543040,-0.0034343502,0.042348534,-0.0643182
1757543040,-0.0034343502,0.042348534,-0.0643182
1757543040,-0.0034343502,0.042348534,-0.0643182
1757543041,-0.0034343502,0.042348534,-0.0643182
1757543041,-0.007755410857498646,0.054907478392124176,-0.06857626140117645
1757543041,-0.007755410857498646,0.054907478392124176,-0.06857626140117645
1757543041,-0.007755410857498646,0.054907478392124176,-0.06857626140117645
1757543041,-0.007755410857498646,0.054907478392124176,-0.06857626140117645
