Gripper,Joint B,Joint C,Joint D,Base Joint
0.0,0.0,0.0,0.0,0.0
0.0,0.0,24.087146759033203,-4.053625583648682,-29.31500816345215
0.0,0.0,24.413915634155273,-3.561776876449585,-29.253704071044922
0.0,0.0,24.636735916137695,-3.0789544582366943,-29.259614944458008
2.856945753097534,1.3670791387557983,24.636735916137695,-2.8376855850219727,-29.277225494384766
2.856945753097534,1.3670791387557983,24.83363914489746,-2.5321311950683594,-29.321414947509766
2.856945753097534,1.3670791387557983,24.83363914489746,-2.5321311950683594,-29.321414947509766
0.07302314043045044,1.3039159774780273,24.33934783935547,-2.1317479610443115,-29.412616729736328
0.07302314043045044,1.3039159774780273,24.33934783935547,-2.1317479610443115,-29.458816528320312
-0.5027999877929688,1.374889612197876,23.776138305664062,-2.0890707969665527,-29.458816528320312
-1.192576289176941,1.3081778287887573,23.593517303466797,-1.9523276090621948,-29.47456932067871
-1.192576289176941,1.3081778287887573,23.593517303466797,-1.9523276090621948,-29.47456932067871
-1.5273396968841553,1.2963991165161133,23.65938949584961,-1.8741945028305054,-29.48212432861328
-2.0750746726989746,1.3141403198242188,23.62560272216797,-1.8005818128585815,-29.491182327270508
-2.0750746726989746,1.3141403198242188,23.62560272216797,-1.8005818128585815,-29.472604751586914
-2.3251891136169434,1.3378851413726807,23.968151092529297,-1.8699699640274048,-29.48332977294922
-2.7812280654907227,1.3007266521453857,23.968151092529297,-1.829862356185913,-29.491729736328125
-2.7812280654907227,1.3007266521453857,23.968151092529297,-1.829862356185913,-29.47199249267578
-2.986095905303955,1.3294252157211304,24.02880096435547,-1.7150933742523193,-29.464136123657227
-3.2082085609436035,1.3173030614852905,24.02880096435547,-1.7578120231628418,-29.426673889160156
-3.2082085609436035,1.3173030614852905,24.02880096435547,-1.7578120231628418,-29.385099411010742
-3.3060336112976074,1.3025625944137573,24.138015747070312,-1.8049620389938354,-29.398447036743164
-3.4472899436950684,1.2047760486602783,24.138015747070312,-1.7918651103973389,-29.42823028564453
-3.4472899436950684,1.2047760486602783,24.138015747070312,-1.7918651103973389,-29.430301666259766
-3.45676326751709,1.2312272787094116,23.87702751159668,-1.6520501375198364,-29.44097328186035
-3.5116677284240723,1.27866530418396,23.87702751159668,-1.6520501375198364,-29.44097328186035
-3.575638771057129,1.2902917861938477,23.98967742919922,-1.6851071119308472,-29.44451332092285
-3.620229482650757,1.3372340202331543,23.775148391723633,-1.7309355735778809,-29.503536224365234
-3.6724791526794434,1.3713480234146118,23.775148391723633,-1.6254749298095703,-29.504610061645508
-3.6724791526794434,1.3713480234146118,23.775148391723633,-1.6254749298095703,-29.48929786682129
-3.6958444118499756,1.3891066312789917,23.662742614746094,-0.027688048779964447,-29.486949920654297
-3.6794567108154297,1.3536466360092163,23.662742614746094,1.0220566987991333,-29.479719161987305
-3.6794567108154297,1.3536466360092163,23.662742614746094,1.0220566987991333,-29.43924903869629
-3.678926706314087,1.3245478868484497,23.918386459350586,1.9258203506469727,-29.43924903869629
-3.6721479892730713,1.3649274110794067,24.285125732421875,2.5769002437591553,-29.35929298400879
-3.690066337585449,1.3943129777908325,24.30829429626465,3.088444471359253,-29.347118377685547
-3.685729742050171,1.4199978113174438,24.318784713745117,3.73508882522583,-28.963985443115234
-3.737457513809204,1.3160383701324463,24.318784713745117,3.928575038909912,-28.614788055419922
-3.737457513809204,1.3160383701324463,24.318784713745117,3.928575038909912,-27.99757194519043
-3.7328171730041504,1.31283700466156,23.88040542602539,4.219555854797363,-27.149660110473633
-3.656219244003296,1.343127965927124,24.23211097717285,4.302801609039307,-26.543869018554688
-3.656219244003296,1.343127965927124,24.517845153808594,4.302801609039307,-26.062870025634766
-3.6526644229888916,1.3284447193145752,24.914518356323242,4.439401626586914,-25.688358306884766
-3.6818008422851562,1.2878055572509766,24.438438415527344,4.465299129486084,-25.41077995300293
-3.6818008422851562,1.2878055572509766,24.380775451660156,4.561737537384033,-25.163599014282227
-3.676243543624878,1.2874199151992798,24.613420486450195,4.561737537384033,-25.018596649169922
-3.7019195556640625,1.3205512762069702,24.48051643371582,4.636186599731445,-24.8941650390625
-3.7019195556640625,1.3205512762069702,24.35993766784668,4.638545989990234,-24.797435760498047
-3.696737289428711,1.3066679239273071,24.19384002685547,4.652143955230713,-24.757545471191406
-3.743582248687744,1.2646872997283936,24.19384002685547,4.652143955230713,-24.757545471191406
-3.729714870452881,1.2646872997283936,23.951820373535156,4.66708517074585,-24.603647232055664
-3.729714870452881,1.2646872997283936,23.951820373535156,4.66708517074585,-24.603647232055664
-3.710855007171631,1.2940077781677246,24.282272338867188,4.659399032592773,-24.589242935180664
-3.710855007171631,1.2940077781677246,24.282272338867188,4.659399032592773,-24.589242935180664
-3.7051706314086914,1.3097071647644043,-1.0323468446731567,19.979337692260742,32.63329315185547
-3.3925654888153076,1.3113933801651,12.571807861328125,99.51998901367188,67.8670654296875
-2.964993715286255,1.3113933801651,42.18209457397461,113.98658752441406,67.72698211669922
-2.964993715286255,1.3113933801651,42.18209457397461,113.98658752441406,67.72698211669922
-2.380387306213379,1.398791790008545,94.13782501220703,132.91928100585938,66.54318237304688
-2.380387306213379,1.398791790008545,113.73052215576172,165.65757751464844,78.50263214111328
-2.2169668674468994,1.3631196022033691,127.01082611083984,165.65757751464844,80.30390930175781
-1.956627607345581,1.3692716360092163,135.18360900878906,154.46932983398438,78.20404815673828
-1.8433865308761597,1.3692716360092163,136.68040466308594,156.16946411132812,77.2589340209961
-1.8433865308761597,1.4120779037475586,137.3744659423828,156.16946411132812,77.2577133178711
-1.7354680299758911,1.390362024307251,133.09613037109375,159.80825805664062,77.73430633544922
-1.7276705503463745,1.390362024307251,134.74307250976562,165.53341674804688,79.78501892089844
-1.7276705503463745,1.3514783382415771,132.3428955078125,165.53341674804688,81.64457702636719
-1.6497414112091064,1.3426381349563599,129.42861938476562,175.53770446777344,83.33942413330078
-1.6437709331512451,1.3426381349563599,125.41492462158203,183.90711975097656,85.86702728271484
-1.6437709331512451,1.3356267213821411,125.41492462158203,183.90711975097656,85.86702728271484
-1.6437709331512451,1.3356267213821411,125.41492462158203,183.90711975097656,85.86702728271484
-1.6804914474487305,1.3356038331985474,153.31028747558594,254.9928741455078,118.73950958251953
-1.6804914474487305,1.3356038331985474,153.31028747558594,254.9928741455078,118.73950958251953
-1.5851408243179321,1.2736968994140625,199.27389526367188,293.32177734375,115.27176666259766
-1.5851408243179321,1.2736968994140625,204.1140899658203,262.7290954589844,116.75570678710938
-1.5909435749053955,1.2958874702453613,205.54603576660156,262.7290954589844,111.88610076904297
-1.6592903137207031,1.298443078994751,201.4254913330078,226.1627960205078,106.526611328125
-1.6592903137207031,1.298443078994751,180.64175415039062,203.69520568847656,102.2713394165039
-1.6379789113998413,1.3406907320022583,154.78639221191406,203.69520568847656,99.36941528320312
-1.5894994735717773,1.3344311714172363,134.61314392089844,153.81246948242188,97.78868865966797
-1.5894994735717773,1.3344311714172363,134.61314392089844,153.81246948242188,97.78868865966797
-1.6091244220733643,1.344443440437317,108.21568298339844,126.50028991699219,98.7787094116211
-7.5422587394714355,1.326302170753479,103.06370544433594,104.72260284423828,99.21992492675781
-7.5422587394714355,1.326302170753479,103.06370544433594,104.72260284423828,99.21992492675781
-12.157785415649414,1.3947936296463013,103.18313598632812,86.74602508544922,99.43844604492188
-14.141230583190918,1.3821417093276978,99.12384033203125,84.65089416503906,99.46056365966797
-14.141230583190918,1.3821417093276978,99.12384033203125,84.65089416503906,99.46056365966797
-15.029741287231445,1.334505558013916,205.49951171875,212.0207061767578,-15.808980941772461
-16.10748863220215,1.3114557266235352,201.8025360107422,220.46939086914062,-43.254554748535156
-16.10748863220215,1.3114557266235352,201.8025360107422,220.46939086914062,-43.254554748535156
-16.390548706054688,1.3228776454925537,160.87881469726562,145.2117462158203,-57.66941452026367
-16.78390121459961,1.3104394674301147,138.21701049804688,145.2117462158203,-58.640804290771484
-16.78390121459961,1.3104394674301147,138.21701049804688,145.2117462158203,-58.640804290771484
-17.04697036743164,1.2707513570785522,105.57803344726562,111.02056121826172,-61.668670654296875
-18.058063507080078,1.2699871063232422,97.5110092163086,103.20117950439453,-64.08834075927734
-18.058063507080078,1.2699871063232422,90.03374481201172,106.5283432006836,-68.30391693115234
-18.159778594970703,1.3507294654846191,90.03374481201172,106.5283432006836,-68.30391693115234
-18.159778594970703,1.3507294654846191,90.03374481201172,106.5283432006836,-68.30391693115234
-19.07431411743164,1.3235392570495605,40.543922424316406,170.86434936523438,-84.7341079711914
-19.07431411743164,1.3235392570495605,-37.479454040527344,170.86434936523438,-88.74494171142578
-19.536273956298828,1.4053523540496826,-36.76267623901367,162.167236328125,-90.74067687988281
-19.536273956298828,1.4053523540496826,-27.359210968017578,143.1165313720703,-91.00541687011719
-19.813554763793945,1.4016579389572144,-24.42685890197754,143.1165313720703,-92.34732055664062
-20.28607749938965,1.3650109767913818,-24.355314254760742,125.05474853515625,-92.88141632080078
-20.28607749938965,1.3650109767913818,-25.297344207763672,124.2748794555664,-94.16511535644531
-20.4118709564209,1.394748568534851,-27.592561721801758,124.2748794555664,-94.2139663696289
-20.630041122436523,1.3963942527770996,-30.220048904418945,137.71759033203125,-94.69330596923828
-20.630041122436523,1.3963942527770996,-33.207725524902344,146.57498168945312,-95.90946960449219
-20.946142196655273,1.3195205926895142,-33.207725524902344,146.57498168945312,-95.90946960449219
-20.946142196655273,1.3195205926895142,-33.207725524902344,146.57498168945312,-95.90946960449219
-21.613039016723633,1.3515326976776123,-7.0880513191223145,209.80921936035156,-61.66441345214844
-21.613039016723633,1.3515326976776123,-7.0880513191223145,209.80921936035156,-61.66441345214844
-21.693429946899414,1.32138991355896,45.32993698120117,204.91046142578125,-34.72330093383789
-22.718385696411133,1.3024296760559082,75.96468353271484,201.13356018066406,10.51451587677002
-22.718385696411133,1.3024296760559082,80.40579986572266,201.13356018066406,29.511558532714844
-22.887338638305664,1.2959041595458984,81.96639251708984,201.13356018066406,41.76942443847656
-22.887338638305664,1.2959041595458984,81.96639251708984,201.13356018066406,41.76942443847656
-23.649045944213867,1.3591861724853516,82.41934204101562,214.94992065429688,51.80437469482422
-23.649045944213867,1.3591861724853516,82.41934204101562,214.94992065429688,51.80437469482422
-23.74898338317871,1.3535887002944946,116.93573760986328,273.386474609375,51.52606201171875
-23.74898338317871,1.3535887002944946,143.6514434814453,273.386474609375,32.54593276977539
-24.87982749938965,1.3570787906646729,128.07334899902344,254.0863800048828,18.797861099243164
-24.87982749938965,1.3570787906646729,110.35050964355469,248.19073486328125,5.358933925628662
-25.482473373413086,1.3369418382644653,110.35050964355469,248.19073486328125,5.358933925628662
-25.524351119995117,1.347549557685852,95.56903839111328,237.71719360351562,-29.562149047851562
-25.524351119995117,1.347549557685852,90.99207305908203,248.90525817871094,-40.9200325012207
-25.524351119995117,1.347549557685852,90.99207305908203,248.90525817871094,-40.9200325012207
-25.64406967163086,1.3867841958999634,91.75286102294922,237.54090881347656,-51.20940399169922
-25.64406967163086,1.3867841958999634,91.75286102294922,237.54090881347656,-51.20940399169922
-26.787824630737305,1.3394604921340942,102.97087097167969,209.77670288085938,-64.3050765991211
-26.990924835205078,1.3461647033691406,113.03887939453125,190.3448486328125,-73.14706420898438
-26.990924835205078,1.3461647033691406,113.03887939453125,190.3448486328125,-73.14706420898438
-26.79460334777832,1.3909947872161865,75.22126770019531,199.7144775390625,-7.816990375518799
-26.79460334777832,1.3909947872161865,75.22126770019531,199.7144775390625,-7.816990375518799
-27.037527084350586,1.3778420686721802,-18.395057678222656,178.0115203857422,48.63311767578125
-27.037527084350586,1.3778420686721802,-18.395057678222656,178.0115203857422,48.63311767578125
-26.47612762451172,1.4001902341842651,-27.77321434020996,170.15325927734375,57.874671936035156
-27.176280975341797,1.4619566202163696,-29.113536834716797,165.26881408691406,61.049095153808594
-27.176280975341797,1.4619566202163696,-27.677913665771484,165.26881408691406,64.47393798828125
-27.66480255126953,1.4191029071807861,-27.359668731689453,165.26881408691406,68.78094482421875
-27.66480255126953,1.4191029071807861,-27.359668731689453,165.26881408691406,68.78094482421875
-28.188810348510742,1.4103450775146484,-26.597074508666992,170.48382568359375,73.34806823730469
-28.188810348510742,1.4103450775146484,-26.597074508666992,170.48382568359375,73.34806823730469
-29.553945541381836,1.3768718242645264,7.831249237060547,199.32870483398438,120.73641967773438
-29.553945541381836,1.3768718242645264,74.7616195678711,194.79562377929688,151.39247131347656
-29.71282386779785,1.3967258930206299,74.7616195678711,194.79562377929688,151.39247131347656
-30.915878295898438,1.3874406814575195,88.7296142578125,195.35972595214844,121.98458862304688
-30.915878295898438,1.3874406814575195,87.80559539794922,195.35972595214844,108.27725982666016
-31.44927215576172,1.4219236373901367,89.55015563964844,194.98324584960938,98.90849304199219
-31.44927215576172,1.4219236373901367,93.79171752929688,197.6161346435547,92.02262115478516
-31.7292423248291,1.3958230018615723,93.79171752929688,197.6161346435547,92.02262115478516
-31.7292423248291,1.3958230018615723,93.79171752929688,197.6161346435547,92.02262115478516
-32.5786018371582,1.363853931427002,143.8022918701172,247.9847869873047,106.74445343017578
-32.5786018371582,1.363853931427002,143.8022918701172,247.9847869873047,106.74445343017578
-33.27528762817383,1.3860187530517578,170.9816131591797,228.52764892578125,104.28083038330078
-33.27528762817383,1.3860187530517578,170.9816131591797,228.52764892578125,104.28083038330078
-33.9072265625,1.3735884428024292,152.85450744628906,222.78958129882812,69.11457824707031
-34.59816360473633,1.3125991821289062,122.09561157226562,216.97171020507812,8.92209243774414
-34.59816360473633,1.3125991821289062,115.1090316772461,220.03915405273438,-30.97123908996582
-34.741943359375,1.3605470657348633,115.1090316772461,220.03915405273438,-30.97123908996582
-35.68084716796875,1.3997970819473267,110.24840545654297,213.9104461669922,-59.03229904174805
-35.68084716796875,1.3997970819473267,118.89359283447266,216.79420471191406,-90.15393829345703
